mock_1	mock_2	mock_3	mock_4	mock_5	mock_6	bystander_1	bystander_2	bystander_3	bystander_4	bystander_5	bystander_6	infected_1	infected_2	infected_3	infected_4	infected_5	infected_6
XLOC_000086	15	13	20	19	18	21	24	21	19	24	17	19	10	13	8	18	38	14
ENSG00000278704.1	1	1	4	0	2	1	1	2	4	5	3	5	3	4	4	1	0	1
XLOC_000087	46	38	80	58	50	55	70	68	38	45	35	53	35	28	24	32	37	22
ENSG00000277400.1	3.5	2	5.5	3	4.5	3	11.5	9	6	7.5	4.5	3.5	3	8.5	5.5	6.5	3	2
ENSG00000274847.1	2.5	2	5.5	1	3.5	3	9.5	8	3	6.5	4.5	3.5	3	7.5	4.5	4.5	2	1
ENSG00000277428.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000276256.1	95.5	76.5	188	135	85	115	178.5	122.5	143	108.5	72	140.5	82	69	47	66	43.5	63
XLOC_000094	72	83	120	69.5	59	45	78	116	119	65	55	83	129	133	128	120	83	111
XLOC_000093	68.5	56.5	135	97.5	83	58	128.5	106.5	110	87.5	84	74.5	96	90	93	77	73.5	60
XLOC_000090	166	129	260	148	115	156	283	240	247	219	193	247	62	69	71	84	35	74
ENSG00000278198.1	0	3	1	0	0	3	1	2	0	0	0	1	2	0	0	0	1	0
XLOC_000096	25	15	22	22	26	19	30	15	34	12	4	35	35	34	21	35	30	19
XLOC_000097	19	23	42	37	10	10	28	28	29	32	21	29	39	33	24	26	28	32
XLOC_000095	13	9	13	5	10	13	16	11	12	7	7	10	29	26	23	20	24	19
ENSG00000273496.1	0	0	2	0	0	0	3	0	2	0	0	0	1	2	3	4	0	3
XLOC_000100	80	60.5	99.5	77.5	71	61.5	114	108.5	114	103	73	90.5	14	33	29	23	22	25
XLOC_000101	23	18.5	48.5	32.5	29	37.5	48	56.5	58	51	57	46.5	16	17	11	12	13	7
XLOC_000105	1	0	1	0	0	0	1	0	0	1	0	1	59	63	43	93	70	109
XLOC_000106	43	35	46	32	32	36	56	65	48	33	29	29	35	38	36	31	34	17
ENSG00000278384.1	8	9	9	6	8	5	10	15	18	14	9	13	12	8	16	13	10	9
ENSG00000273748.1	7	12	12	23	12	14	23	18	12	15	15	21	14	13	7	7	9	11
ENSG00000274917.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273937.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSG00000273730.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000276711.1	0	0	0	0	0	1	0	0	1	0	1	0	3	4	0	4	3	3
ENSG00000278294.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
